year,all,white,black,hispanic,men,white_men,black_men,hispanic_men,women,white_women,black_women,hispanic_women,high_school,bachelors_degree,recent_high-school_graduate,recent_college_graduate
2019,32.0,35.3,30.4,22.7,32.7,36.5,30.5,22.5,31.2,33.9,30.3,22.9,26.8,37.9,8.3,28.5
2018,31.3,34.8,28.2,21.8,32.1,36.1,30.2,21.6,30.2,33.3,26.4,22.0,26.4,38.4,8.3,27.2
2017,32.1,35.9,28.4,22.3,33.0,37.1,29.8,22.7,31.0,34.4,27.1,21.7,27.4,38.7,8.9,26.8
2016,31.6,35.1,29.1,21.1,32.5,36.5,30.5,20.9,30.4,33.5,27.8,21.4,26.6,39.3,11.1,30.8
2015,32.8,36.5,29.9,22.1,33.7,38.2,29.2,21.9,31.6,34.3,30.4,22.4,27.8,40.3,8.7,26.1
2014,36.2,40.8,32.1,23.0,36.7,41.6,33.7,23.0,35.5,39.8,30.6,22.9,30.9,45.4,7.8,34.7
2013,38.4,43.1,34.8,24.0,38.6,44.3,33.0,22.2,38.1,41.6,36.2,26.8,33.9,47.9,10.9,36.9
2012,41.4,46.7,36.3,24.5,42.0,47.8,36.8,23.9,40.6,45.4,35.8,25.3,34.6,53.1,8.1,33.9
2011,41.5,46.7,38.0,23.9,42.1,48.0,38.3,22.8,40.7,45.1,37.7,25.3,35.1,52.1,10.4,32.3
2010,41.9,46.8,37.4,23.9,42.4,48.5,37.2,22.3,41.3,44.9,37.6,26.5,35.7,54.0,10.1,34.4
2009,41.6,46.6,37.7,22.9,42.1,47.9,38.6,21.8,40.9,45.0,37.0,24.7,35.5,53.0,7.6,33.2
2008,42.6,47.7,37.3,24.8,43.4,49.4,38.4,23.9,41.6,45.7,36.2,26.2,37.4,54.5,10.4,39.1
2007,43.6,48.9,38.6,24.8,44.2,50.4,39.1,23.9,42.9,47.0,38.2,26.2,38.0,56.2,13.0,37.8
2006,41.7,47.0,37.1,22.6,42.4,48.5,38.4,21.3,40.9,45.0,35.8,24.7,36.3,54.9,12.6,40.5
2005,43.3,48.4,38.2,24.0,44.0,50.1,39.1,22.6,42.4,46.3,37.4,26.5,38.2,56.7,8.1,37.6
2004,44.6,49.3,41.6,25.0,45.2,51.2,41.0,23.4,43.7,47.0,42.1,27.7,39.4,58.4,9.2,37.6
2003,45.1,49.9,40.5,25.8,46.1,51.7,42.6,24.7,43.8,47.7,38.7,27.6,40.2,58.2,13.0,33.2
2002,44.8,49.8,39.8,24.9,46.1,52.2,40.9,24.5,43.0,46.7,38.8,25.7,40.7,58.2,13.6,35.5
2001,46.5,51.2,42.3,25.8,48.2,54.0,43.0,24.7,44.3,47.6,41.7,27.5,42.3,60.7,13.5,37.8
2000,47.7,52.8,41.1,27.4,49.4,55.6,41.9,26.1,45.5,49.4,40.5,29.4,43.3,62.2,12.9,45.0
1999,47.7,52.0,41.8,28.1,50.1,55.1,43.8,28.1,44.8,48.1,39.9,28.1,44.0,61.3,11.4,39.5
1998,47.6,51.8,40.8,27.8,50.0,54.9,43.8,26.4,44.6,47.8,38.0,29.9,45.1,61.2,16.3,36.6
1997,46.3,50.1,41.7,26.1,48.3,53.0,43.1,25.9,43.7,46.5,40.3,26.5,43.1,59.8,12.0,38.6
1996,45.4,48.7,41.5,27.3,47.3,51.4,41.9,26.4,43.0,45.2,41.1,28.9,42.7,58.7,10.2,37.0
1995,44.4,47.6,42.3,24.3,46.6,50.5,43.8,23.4,41.6,43.8,40.8,25.8,42.0,55.9,9.6,30.2
1994,44.8,47.9,41.3,25.3,47.1,51.0,42.7,24.5,41.8,43.8,39.8,26.6,42.4,56.9,11.3,31.0
1993,42.8,46.2,35.6,24.8,44.7,49.1,35.4,23.8,40.3,42.4,35.8,26.5,40.5,54.7,7.3,27.0
1992,43.7,46.6,38.5,24.1,46.1,49.9,38.2,23.3,40.6,42.3,38.8,25.4,42.3,54.8,10.7,31.8
1991,43.8,46.5,40.1,26.0,47.0,50.6,41.6,25.6,39.7,41.4,38.6,26.6,42.0,54.4,11.2,30.3
1990,43.1,45.5,40.3,25.9,46.3,49.4,42.4,25.5,38.9,40.3,38.2,26.5,42.6,,13.8,
1989,42.9,45.2,40.6,26.1,45.8,49.0,41.4,24.6,39.2,40.1,39.8,28.7,42.3,,14.3,
1988,42.0,44.2,38.6,26.1,45.7,48.6,39.8,26.2,37.3,38.3,37.3,26.1,42.0,,13.2,
1987,41.8,43.7,38.0,27.2,45.8,48.7,38.4,27.1,36.7,37.2,37.5,27.4,41.3,,13.0,
1986,44.9,46.8,42.0,30.3,48.9,51.5,43.5,31.3,39.4,40.2,40.4,28.5,44.0,,13.3,
1985,45.7,47.1,44.7,31.5,49.9,51.8,47.9,32.9,39.9,40.4,41.1,28.9,44.9,,,
1984,45.4,46.9,43.6,32.1,49.7,51.8,45.4,32.8,39.7,40.0,41.6,30.9,45.1,,,
1983,46.9,48.2,44.1,34.2,51.4,53.5,46.6,34.5,40.6,40.9,41.5,33.7,47.1,,,
1982,47.4,48.6,44.5,35.5,52.2,54.0,46.9,35.2,40.7,40.9,41.9,36.1,47.3,,,
1981,48.4,49.8,44.7,36.0,53.7,55.6,48.6,37.2,40.7,41.3,40.0,34.1,48.2,,,
1980,49.5,51.1,44.5,37.9,54.9,56.9,47.4,40.4,41.4,42.2,41.0,33.3,50.3,,,
1979,50.0,51.5,45.6,37.8,55.9,57.9,49.3,40.0,41.1,41.6,40.8,33.8,50.6,,,
